ticker,comparison,n_compared,max_abs_diff,mean_abs_diff,worst_date
^GSPC,RSI 단순SMA vs ta,9198,30.01144382601713,6.271549444986829,2025-05-09
^SP500TR,RSI 단순SMA vs ta,9198,29.996822254866522,6.2617947350653465,2025-05-09
^GSPC,RSI Wilder(SMA시드) vs ta,9198,4.340107103784192,0.010762317131886185,1990-02-07
^SP500TR,RSI Wilder(SMA시드) vs ta,9198,4.340563371732799,0.011129631931456265,1990-02-07
^GSPC,RSI Wilder(첫값시드) vs ta,9199,0.0,0.0,
^SP500TR,RSI Wilder(첫값시드) vs ta,9199,0.0,0.0,
^GSPC,MACD선 vs ta,9187,0.0,0.0,
^SP500TR,MACD선 vs ta,9187,0.0,0.0,
^GSPC,MACD 시그널선 vs ta,9179,0.0,0.0,
^SP500TR,MACD 시그널선 vs ta,9179,0.0,0.0,
^GSPC,MACD 히스토그램 vs ta,9179,0.0,0.0,
^SP500TR,MACD 히스토그램 vs ta,9179,0.0,0.0,
