ticker,comparison,n_compared,max_abs_diff,mean_abs_diff,worst_date
^GSPC,ATR vs ta,9198,0.19755040382852318,0.0003006855461715542,1990-01-22
^SP500TR,ATR vs ta,9198,0.20250016815808314,0.0003082194340474594,1990-01-22
^GSPC,볼린저 중심선 vs ta,9193,0.0,0.0,
^SP500TR,볼린저 중심선 vs ta,9193,0.0,0.0,
^GSPC,볼린저 상단 vs ta,9193,0.0,0.0,
^SP500TR,볼린저 상단 vs ta,9193,0.0,0.0,
^GSPC,볼린저 하단 vs ta,9193,0.0,0.0,
^SP500TR,볼린저 하단 vs ta,9193,0.0,0.0,
^GSPC,볼린저 %B vs ta,9193,0.0,0.0,
^SP500TR,볼린저 %B vs ta,9193,0.0,0.0,
^GSPC,볼린저 밴드폭 vs ta,9193,0.0,0.0,
^SP500TR,볼린저 밴드폭 vs ta,9193,0.0,0.0,
