h,stratum,n_sig,n_ctl,mean_signal_pct,mean_control_pct,d_pct,w
1,Q3,10,1137,0.34518199925127724,0.04381496936181045,0.3013670298894668,0.16129032258064516
1,Q4,20,1288,0.25592105021569445,0.023412577339055524,0.23250847287663892,0.3225806451612903
1,Q5,32,1586,-1.2938285774456362,0.0733932062151481,-1.3672217836607843,0.5161290322580645
5,Q3,10,1137,1.709816604789157,0.12709015748939484,1.5827264472997622,0.16129032258064516
5,Q4,20,1288,0.5785536339698955,0.19270148014786193,0.38585215382203353,0.3225806451612903
5,Q5,32,1586,-1.143218485597717,0.20491061205517008,-1.348129097652887,0.5161290322580645
10,Q3,10,1137,1.7914349709474031,0.30931669014763885,1.4821182807997642,0.16129032258064516
10,Q4,20,1288,1.610308825436873,0.342134569926252,1.2681742555106208,0.3225806451612903
10,Q5,32,1586,-1.090972877088079,0.37494580540873607,-1.4659186824968151,0.5161290322580645
20,Q3,10,1132,2.6056542859406484,0.710936941396058,1.8947173445445904,0.16129032258064516
20,Q4,20,1288,0.3119147397397587,0.5774489165663101,-0.26553417682655145,0.3225806451612903
20,Q5,32,1586,2.2264844672729875,0.7975223595231007,1.4289621077498869,0.5161290322580645
