group,quintile,n_obs,n_gap,count_lt_W,overlap_ratio,stage
signal,Q1,1,0,0,,before_decluster
signal,Q2,2,1,0,0.0,before_decluster
signal,Q3,10,9,2,0.2222222222222222,before_decluster
signal,Q4,20,19,5,0.2631578947368421,before_decluster
signal,Q5,32,31,16,0.5161290322580645,before_decluster
control,Q1,1327,1326,1271,0.9585218702865762,before_decluster
control,Q2,1265,1264,1196,0.9462025316455697,before_decluster
control,Q3,1132,1131,1048,0.9266136162687887,before_decluster
control,Q4,1288,1287,1210,0.9401709401709402,before_decluster
control,Q5,1586,1585,1551,0.9785488958990536,before_decluster
signal,Q1,1,0,0,,after_decluster
signal,Q2,2,1,0,0.0,after_decluster
signal,Q3,7,6,0,0.0,after_decluster
signal,Q4,12,11,0,0.0,after_decluster
signal,Q5,12,11,0,0.0,after_decluster
control,Q1,54,53,0,0.0,after_decluster
control,Q2,63,62,0,0.0,after_decluster
control,Q3,49,48,0,0.0,after_decluster
control,Q4,44,43,0,0.0,after_decluster
control,Q5,71,70,0,0.0,after_decluster
