quintile,n_sig,n_ctl,included,mean_log_post_sig,mean_log_post_ctl,delta_k,exp_delta_k,var_log_post_sig,var_log_post_ctl,se_k,mean_log_pre_sig,mean_log_pre_ctl,delta_pre_k,w_k,analysis
1,1,1327,False,-5.089478998231296,-5.0738041851345095,-0.01567481309678609,0.9844473974105235,,0.14514794082284835,,-5.567530240987722,-5.436639480117468,-0.13089076087025386,,main_W20
2,2,1265,False,-4.59633244198662,-4.943880884503013,0.34754844251639305,1.4155928838352216,0.04187853979506938,0.1143457449579843,0.14501607424965726,-5.142462377985048,-5.063505928484021,-0.07895644950102643,,main_W20
3,10,1132,True,-4.689844830914064,-4.849391987353084,0.15954715643902073,1.1729795744563292,0.10191438929040654,0.14607610098937876,0.101589770258037,-4.79482781014433,-4.806741763664701,0.011913953520370946,0.16129032258064516,main_W20
4,20,1288,True,-4.323189508303491,-4.672397988939996,0.3492084806365048,1.417944773558147,0.11742256333643893,0.18096578082513023,0.07753469900277006,-4.51691725633909,-4.541113205331521,0.02419594899243105,0.3225806451612903,main_W20
5,32,1586,True,-3.799061675459494,-4.22453587035528,0.42547419489578564,1.5303159156326738,0.2237928385579386,0.1898160888690393,0.08433983922434846,-4.00454464472566,-4.037850841016646,0.033306196290986634,0.5161290322580645,main_W20
1,1,54,False,-5.089478998231296,-5.1435171093567185,0.054038111125422894,1.055524828627668,,0.11651297239588011,,-5.567530240987722,-5.433334678596113,-0.1341955623916089,,declustered_W20
2,2,63,False,-4.59633244198662,-4.954430714212922,0.358098272226302,1.4306062024286084,0.04187853979506938,0.10746945043154957,0.15048300299402245,-5.142462377985048,-5.057773361813431,-0.08468901617161695,,declustered_W20
3,7,49,True,-4.737721701242892,-4.92424907849027,0.1865273772473781,1.2050576127944672,0.10060964724791267,0.10207790558574752,0.12828105593842082,-4.781955077709661,-4.803337943041456,0.021382865331794676,0.22580645161290322,declustered_W20
4,12,44,True,-4.2967291075852785,-4.758899300292965,0.46217019270768667,1.5875154637905418,0.09341780590756886,0.10784821971277071,0.10117268930658631,-4.526806285463896,-4.536587611045321,0.009781325581425193,0.3870967741935484,declustered_W20
5,12,71,True,-3.725648962699189,-4.302693176937051,0.5770442142378625,1.7807670781181983,0.22731532845877017,0.1602110040171475,0.14560026460332023,-4.104211466932851,-4.060492212765519,-0.04371925416733191,0.3870967741935484,declustered_W20
1,1,1327,False,-4.9042421608741416,-5.168878102174345,0.2646359413002033,1.3029565367591185,,0.18616653462234395,,-5.567530240987722,-5.436639480117468,-0.13089076087025386,,aux_W10
2,2,1271,False,-4.608308560860071,-5.02339815457393,0.41508959371385856,1.5145064248689994,0.0003572109292303698,0.14756657727082398,0.017167067322914877,-5.142462377985048,-5.063603282495281,-0.07885909548976677,,aux_W10
3,10,1137,True,-4.637076948600758,-4.889742991248501,0.25266604264774273,1.2874532505546978,0.13089551916402173,0.17678332323336793,0.11508707212708594,-4.79482781014433,-4.806804720245825,0.011976910101495264,0.16129032258064516,aux_W10
4,20,1288,True,-4.338942863052617,-4.6996701462058255,0.36072728315320823,1.4343722300616553,0.08067225125455824,0.2081456253970092,0.06477048949293314,-4.51691725633909,-4.541113205331521,0.02419594899243105,0.3225806451612903,aux_W10
5,32,1586,True,-3.7679636163978247,-4.214254610455596,0.44629099405777106,1.5625060803701925,0.2606428094161413,0.20681013359550784,0.09096969332812853,-4.00454464472566,-4.037850841016646,0.033306196290986634,0.5161290322580645,aux_W10
